Product_ID,Product_Type,Product_Name,Category,Risk_Level,Expected_Return (%),Investment_Horizon (Years),Volatility_Level
148628,Mutual Fund,Baroda BNP Paribas Banking and PSU Bond Fund- Direct Plan -Growth Option,General Mutual Fund,Medium,8.0,3,Medium
148630,Mutual Fund,Baroda BNP Paribas Banking and PSU Bond Fund-Direct plan-Quarterly IDCW Option,General Mutual Fund,Medium,8.0,3,Medium
148625,Mutual Fund,Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Growth Option,General Mutual Fund,Medium,8.0,3,Medium
148626,Mutual Fund,Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Monthly IDCW Option,General Mutual Fund,Medium,8.0,3,Medium
148627,Mutual Fund,Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan-Quarterly IDCW Option,General Mutual Fund,Medium,8.0,3,Medium
150505,Mutual Fund,Canara Robeco Banking and PSU Debt Fund- Direct Plan- Growth Option,General Mutual Fund,Medium,8.0,3,Medium
150507,Mutual Fund,Canara Robeco Banking and PSU Debt Fund- Direct Plan- IDCW Payout,General Mutual Fund,Medium,8.0,3,Medium
150503,Mutual Fund,Canara Robeco Banking and PSU Debt Fund- Regular Plan- Growth Option,General Mutual Fund,Medium,8.0,3,Medium
150504,Mutual Fund,Canara Robeco Banking and PSU Debt Fund- Regular Plan- IDCW (Payout/ Reinvestment),General Mutual Fund,Medium,8.0,3,Medium
124175,Mutual Fund,DSP Banking & PSU Debt Fund - Direct Plan - Growth,General Mutual Fund,Medium,8.0,3,Medium
124178,Mutual Fund,DSP Banking & PSU Debt Fund - Direct Plan - IDCW,General Mutual Fund,Medium,8.0,3,Medium
124182,Mutual Fund,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Daily Reinvest,General Mutual Fund,Medium,8.0,3,Medium
124176,Mutual Fund,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Monthly,General Mutual Fund,Medium,8.0,3,Medium
124177,Mutual Fund,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Quarterly ,General Mutual Fund,Medium,8.0,3,Medium
124183,Mutual Fund,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Weekly,General Mutual Fund,Medium,8.0,3,Medium
124172,Mutual Fund,DSP Banking & PSU Debt Fund - Regular Plan - Growth,General Mutual Fund,Medium,8.0,3,Medium
124174,Mutual Fund,DSP Banking & PSU Debt Fund - Regular Plan - IDCW,General Mutual Fund,Medium,8.0,3,Medium
124173,Mutual Fund,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Daily Reinvest,General Mutual Fund,Medium,8.0,3,Medium
124180,Mutual Fund,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Monthly,General Mutual Fund,Medium,8.0,3,Medium
124181,Mutual Fund,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Quarterly ,General Mutual Fund,Medium,8.0,3,Medium
124179,Mutual Fund,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Weekly,General Mutual Fund,Medium,8.0,3,Medium
140286,Mutual Fund,Edelweiss Banking and PSU Debt Fund - Direct Plan - Growth Option,General Mutual Fund,Medium,8.0,3,Medium
140288,Mutual Fund,Edelweiss Banking and PSU Debt Fund - Direct Plan - IDCW Option,General Mutual Fund,Medium,8.0,3,Medium
140291,Mutual Fund,Edelweiss Banking and PSU Debt Fund - Direct Plan Fortnightly - IDCW Option,General Mutual Fund,Medium,8.0,3,Medium
140293,Mutual Fund,Edelweiss Banking and PSU Debt Fund - Direct Plan Monthly - IDCW Option,General Mutual Fund,Medium,8.0,3,Medium
140290,Mutual Fund,Edelweiss Banking and PSU Debt Fund - Direct Plan weekly - IDCW Option,General Mutual Fund,Medium,8.0,3,Medium
140283,Mutual Fund,Edelweiss Banking and PSU Debt Fund - Regular Plan - Growth Option,General Mutual Fund,Medium,8.0,3,Medium
140284,Mutual Fund,Edelweiss Banking and PSU Debt Fund - Regular Plan - IDCW Option,General Mutual Fund,Medium,8.0,3,Medium
140294,Mutual Fund,Edelweiss Banking and PSU Debt Fund - Regular Plan Fortnightly - IDCW Option,General Mutual Fund,Medium,8.0,3,Medium
140292,Mutual Fund,Edelweiss Banking and PSU Debt Fund - Regular Plan Monthly - IDCW Option,General Mutual Fund,Medium,8.0,3,Medium
140289,Mutual Fund,Edelweiss Banking and PSU Debt Fund - Regular Plan Weekly - IDCW Option,General Mutual Fund,Medium,8.0,3,Medium
129008,Mutual Fund,Franklin India Banking & PSU Debt Fund - Direct - Growth,General Mutual Fund,Medium,8.0,3,Medium
129006,Mutual Fund,Franklin India Banking & PSU Debt Fund - Growth,General Mutual Fund,Medium,8.0,3,Medium
129009,Mutual Fund,Franklin India Banking and PSU Debt Fund - Direct - IDCW ,General Mutual Fund,Medium,8.0,3,Medium
129007,Mutual Fund,Franklin India Banking and PSU Debt Fund - IDCW ,General Mutual Fund,Medium,8.0,3,Medium
128628,Mutual Fund,HDFC Banking and PSU Debt Fund - Growth Option,General Mutual Fund,Medium,8.0,3,Medium
128629,Mutual Fund,HDFC Banking and PSU Debt Fund - Growth Option - Direct Plan,General Mutual Fund,Medium,8.0,3,Medium
128627,Mutual Fund,HDFC Banking and PSU Debt Fund - IDCW Option,General Mutual Fund,Medium,8.0,3,Medium
128626,Mutual Fund,HDFC Banking and PSU Debt Fund - IDCW Option - Direct Plan,General Mutual Fund,Medium,8.0,3,Medium
151108,Mutual Fund,HSBC Banking and PSU Debt Fund - Direct Daily IDCW,General Mutual Fund,Medium,8.0,3,Medium
151107,Mutual Fund,HSBC Banking and PSU Debt Fund - Direct Growth,General Mutual Fund,Medium,8.0,3,Medium
151106,Mutual Fund,HSBC Banking and PSU Debt Fund - Direct Monthly IDCW,General Mutual Fund,Medium,8.0,3,Medium
151109,Mutual Fund,HSBC Banking and PSU Debt Fund - Direct Weekly IDCW,General Mutual Fund,Medium,8.0,3,Medium
151102,Mutual Fund,HSBC Banking and PSU Debt Fund - Regular Daily IDCW,General Mutual Fund,Medium,8.0,3,Medium
151104,Mutual Fund,HSBC Banking and PSU Debt Fund - Regular Growth,General Mutual Fund,Medium,8.0,3,Medium
151105,Mutual Fund,HSBC Banking and PSU Debt Fund - Regular Monthly IDCW,General Mutual Fund,Medium,8.0,3,Medium
151103,Mutual Fund,HSBC Banking and PSU Debt Fund - Regular Weekly IDCW,General Mutual Fund,Medium,8.0,3,Medium
112343,Mutual Fund,ICICI Prudential Banking and PSU Debt Fund -  Daily IDCW,General Mutual Fund,Medium,8.0,3,Medium
112344,Mutual Fund,ICICI Prudential Banking and PSU Debt Fund -  Weekly IDCW,General Mutual Fund,Medium,8.0,3,Medium
130897,Mutual Fund,ICICI Prudential Banking and PSU Debt Fund - Bonus,General Mutual Fund,Medium,8.0,3,Medium
120257,Mutual Fund,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Daily IDCW,General Mutual Fund,Medium,8.0,3,Medium
120256,Mutual Fund,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth,General Mutual Fund,Medium,8.0,3,Medium
120258,Mutual Fund,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Quarterly IDCW,General Mutual Fund,Medium,8.0,3,Medium
120255,Mutual Fund,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Weekly IDCW,General Mutual Fund,Medium,8.0,3,Medium
130950,Mutual Fund,ICICI Prudential Banking and PSU Debt Fund - Direct Plan Bonus,General Mutual Fund,Medium,8.0,3,Medium
131148,Mutual Fund,ICICI Prudential Banking and PSU Debt Fund - Direct Plan Half Yearly IDCW Option,General Mutual Fund,Medium,8.0,3,Medium
112342,Mutual Fund,ICICI Prudential Banking and PSU Debt Fund - Growth,General Mutual Fund,Medium,8.0,3,Medium
116174,Mutual Fund,ICICI Prudential Banking and PSU Debt Fund - Quarterly IDCW,General Mutual Fund,Medium,8.0,3,Medium
131147,Mutual Fund,ICICI Prudential Banking and PSU Debt Fund Half Yearly IDCW Option,General Mutual Fund,Medium,8.0,3,Medium
113247,Mutual Fund,ICICI Prudential Banking and PSU Debt Fund Retail Daily Dividend,General Mutual Fund,Medium,8.0,3,Medium
113242,Mutual Fund,ICICI Prudential Banking and PSU Debt Fund Retail Growth,General Mutual Fund,Medium,8.0,3,Medium
113243,Mutual Fund,ICICI Prudential Banking and PSU Debt Fund Retail Weekly Dividend,General Mutual Fund,Medium,8.0,3,Medium
118234,Mutual Fund,Invesco India Banking and PSU Fund - Daily IDCW (Reinvestment),General Mutual Fund,Medium,8.0,3,Medium
120444,Mutual Fund,Invesco India Banking and PSU Fund - Direct Plan -  Growth Option,General Mutual Fund,Medium,8.0,3,Medium
120443,Mutual Fund,Invesco India Banking and PSU Fund - Direct Plan - Daily IDCW (Reinvestment),General Mutual Fund,Medium,8.0,3,Medium
120445,Mutual Fund,Invesco India Banking and PSU Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment),General Mutual Fund,Medium,8.0,3,Medium
118232,Mutual Fund,Invesco India Banking and PSU Fund - Growth Option,General Mutual Fund,Medium,8.0,3,Medium
118233,Mutual Fund,Invesco India Banking and PSU Fund - Monthly IDCW (Payout / Reinvestment),General Mutual Fund,Medium,8.0,3,Medium
148534,Mutual Fund,ITI Banking & PSU Debt Fund - Direct Plan - Growth Option,General Mutual Fund,Medium,8.0,3,Medium
148536,Mutual Fund,ITI Banking & PSU Debt Fund - Direct Plan - IDCW Option,General Mutual Fund,Medium,8.0,3,Medium
